,initial_ke,mid1_ratio,mid2_ratio,retardation,tof_min,tof_std
0,1.6,0.11248,0.0,-1.0,0.76214,0.0002513308469778444
0,101.0,0.11248,0.0,-1.0,0.0662103,2.128544501433439e-05
0,13.0,0.11248,0.0,-1.0,0.188781,9.908163741321215e-05
0,151.0,0.11248,0.0,-1.0,0.054124,1.693255254090884e-05
0,17.0,0.11248,0.0,-1.0,0.16395,8.604194424960435e-05
0,2.0,0.11248,0.0,-1.0,0.608244,0.00022474154179891214
0,26.0,0.11248,0.0,-1.0,0.131602,6.042350434412971e-05
0,3.0,0.11248,0.0,-1.0,0.444123,0.00014231833348264027
0,301.0,0.11248,0.0,-1.0,0.0383346,1.020334532043378e-05
0,5.0,0.11248,0.0,-1.0,0.320958,0.0001258447222865458
0,51.0,0.11248,0.0,-1.0,0.0933974,3.4467999162027415e-05
0,7.0,0.11248,0.0,-1.0,0.264346,0.00011654798438163401
0,76.0,0.11248,0.0,-1.0,0.0763797,2.6662324402279473e-05
0,9.0,0.11248,0.0,-1.0,0.23002,0.00010742546674358765
0,1.3,0.2,0.08,-1.0,1.02429,0.00035649378650942523
0,1.6,0.2,0.08,-1.0,0.759488,0.00023132205083138373
0,101.0,0.2,0.08,-1.0,0.0662081,2.1745763192374796e-05
0,13.0,0.2,0.08,-1.0,0.188729,7.036117850491879e-05
0,151.0,0.2,0.08,-1.0,0.0541228,1.6158867095673244e-05
0,17.0,0.2,0.08,-1.0,0.163916,6.435568957383676e-05
0,2.0,0.2,0.08,-1.0,0.606742,0.00019434716518464405
0,26.0,0.2,0.08,-1.0,0.131584,4.951831581639333e-05
0,3.0,0.2,0.08,-1.0,0.443488,0.00014715043504585587
0,301.0,0.2,0.08,-1.0,0.0383342,9.71997259639009e-06
0,5.0,0.2,0.08,-1.0,0.320709,0.00012489387318239217
0,51.0,0.2,0.08,-1.0,0.0933911,3.552814909213366e-05
0,7.0,0.2,0.08,-1.0,0.264207,0.00010851084893031473
0,76.0,0.2,0.08,-1.0,0.0763762,2.6754994382684343e-05
0,9.0,0.2,0.08,-1.0,0.229927,8.92013211832439e-05
0,1.3,0.2,0.1354,-1.0,1.02415,0.000369265765423441
0,1.6,0.2,0.1354,-1.0,0.759425,0.00023685812274043557
0,101.0,0.2,0.1354,-1.0,0.0662084,2.2408009450594346e-05
0,13.0,0.2,0.1354,-1.0,0.188728,8.84737267070728e-05
0,151.0,0.2,0.1354,-1.0,0.0541231,1.7101868684826716e-05
0,17.0,0.2,0.1354,-1.0,0.163915,7.314629217641439e-05
0,2.0,0.2,0.1354,-1.0,0.60671,0.0001596120873201277
0,26.0,0.2,0.1354,-1.0,0.131585,6.217385730827879e-05
0,3.0,0.2,0.1354,-1.0,0.443475,0.0001589374945068922
0,301.0,0.2,0.1354,-1.0,0.0383344,1.0160321143580623e-05
0,5.0,0.2,0.1354,-1.0,0.320704,0.00013331105902393827
0,51.0,0.2,0.1354,-1.0,0.093391,3.726134975285177e-05
0,7.0,0.2,0.1354,-1.0,0.264203,0.00010395470670320861
0,76.0,0.2,0.1354,-1.0,0.0763762,2.8046787605939928e-05
0,9.0,0.2,0.1354,-1.0,0.229925,9.485893388822812e-05
0,1.3,0.2,0.2,-1.0,1.02399,0.00030654766110910827
0,1.6,0.2,0.2,-1.0,0.759353,0.00023379315642433357
0,101.0,0.2,0.2,-1.0,0.066208,2.2145108789534255e-05
0,13.0,0.2,0.2,-1.0,0.188727,8.11136914718197e-05
0,151.0,0.2,0.2,-1.0,0.0541228,1.6455475458827095e-05
0,17.0,0.2,0.2,-1.0,0.163915,7.551401863719931e-05
0,2.0,0.2,0.2,-1.0,0.606671,0.0002211621203347298
0,26.0,0.2,0.2,-1.0,0.131584,5.488209025329956e-05
0,3.0,0.2,0.2,-1.0,0.44346,0.00016855507673882
0,301.0,0.2,0.2,-1.0,0.0383342,9.91503232199511e-06
0,5.0,0.2,0.2,-1.0,0.3207,0.0001072856221700288
0,51.0,0.2,0.2,-1.0,0.0933908,3.485565123418322e-05
0,7.0,0.2,0.2,-1.0,0.264206,0.00011129200388882304
0,76.0,0.2,0.2,-1.0,0.0763761,2.6422922956808377e-05
0,9.0,0.2,0.2,-1.0,0.229923,9.788765941374392e-05
0,1.3,0.2,0.3,-1.0,1.02375,0.00030501360361915984
0,1.6,0.2,0.3,-1.0,0.759242,0.00023863386607247345
0,101.0,0.2,0.3,-1.0,0.0662079,2.088112142131936e-05
0,13.0,0.2,0.3,-1.0,0.188725,9.020410183966435e-05
0,151.0,0.2,0.3,-1.0,0.0541227,1.628689520809549e-05
0,17.0,0.2,0.3,-1.0,0.163913,7.486900954958782e-05
0,2.0,0.2,0.3,-1.0,0.606613,0.00018077881460885618
0,26.0,0.2,0.3,-1.0,0.131583,5.663066942443207e-05
0,3.0,0.2,0.3,-1.0,0.443437,0.00015198431181099358
0,301.0,0.2,0.3,-1.0,0.0383342,9.698235212334269e-06
